#L TT           EE
30 5.629893E-04 1.137303E-03
31 6.042898E-04 1.225027E-03
32 6.309629E-04 1.279048E-03
33 6.883569E-04 1.381842E-03
34 7.176710E-04 1.448332E-03
35 7.834409E-04 1.523988E-03
36 8.296429E-04 1.631337E-03
37 8.563434E-04 1.743298E-03
38 9.075502E-04 1.804851E-03
39 9.784593E-04 1.889422E-03
40 1.024859E-03 1.992829E-03
41 1.051107E-03 2.043817E-03
42 1.112626E-03 2.162550E-03
43 1.169554E-03 2.308118E-03
44 1.228536E-03 2.436542E-03
45 1.275072E-03 2.511286E-03
46 1.348826E-03 2.627452E-03
47 1.405495E-03 2.702100E-03
48 1.457121E-03 2.837676E-03
49 1.503124E-03 2.953446E-03
50 1.575090E-03 3.144999E-03
51 1.621744E-03 3.228757E-03
52 1.705513E-03 3.400265E-03
53 1.760574E-03 3.544185E-03
54 1.835113E-03 3.730734E-03
55 1.899036E-03 3.826520E-03
56 2.005891E-03 4.006996E-03
57 2.049854E-03 4.141607E-03
58 2.120643E-03 4.256916E-03
59 2.237855E-03 4.391181E-03
60 2.267607E-03 4.493091E-03
61 2.338552E-03 4.711264E-03
62 2.418850E-03 4.818290E-03
63 2.527158E-03 4.948162E-03
64 2.612495E-03 5.156746E-03
65 2.738584E-03 5.311396E-03
66 2.737163E-03 5.559634E-03
67 2.912600E-03 5.708802E-03
68 2.955788E-03 5.813116E-03
69 3.018658E-03 6.118806E-03
70 3.086129E-03 6.172453E-03
71 3.215554E-03 6.339888E-03
72 3.343382E-03 6.594850E-03
73 3.415448E-03 6.735626E-03
74 3.469950E-03 6.912306E-03
75 3.575228E-03 7.134900E-03
76 3.635713E-03 7.318454E-03
77 3.743088E-03 7.462768E-03
78 3.787426E-03 7.706671E-03
79 3.966060E-03 7.911072E-03
80 4.029336E-03 8.142900E-03
81 4.145848E-03 8.244012E-03
82 4.282518E-03 8.669771E-03
83 4.427081E-03 8.825518E-03
84 4.488458E-03 9.012341E-03
85 4.636258E-03 9.299655E-03
86 4.756140E-03 9.535113E-03
87 4.814468E-03 9.738027E-03
88 4.939333E-03 9.978285E-03
89 5.069616E-03 1.020386E-02
90 5.165238E-03 1.042371E-02
91 5.351578E-03 1.072782E-02
92 5.403606E-03 1.096057E-02
93 5.598055E-03 1.121621E-02
94 5.673315E-03 1.146117E-02
95 5.839300E-03 1.179893E-02
96 5.946792E-03 1.206858E-02
97 6.011699E-03 1.217722E-02
98 6.248313E-03 1.247707E-02
99 6.299862E-03 1.265012E-02
100 6.452074E-03 1.291444E-02
101 6.569268E-03 1.315141E-02
102 6.766115E-03 1.339878E-02
103 6.920923E-03 1.370342E-02
104 7.151694E-03 1.394502E-02
105 7.177215E-03 1.435631E-02
106 7.291507E-03 1.444127E-02
107 7.421511E-03 1.479620E-02
108 7.584675E-03 1.532544E-02
109 7.767433E-03 1.510855E-02
110 8.003668E-03 1.561209E-02
111 8.151088E-03 1.581082E-02
112 8.339598E-03 1.622318E-02
113 8.628716E-03 1.647447E-02
114 8.478389E-03 1.701873E-02
115 8.881223E-03 1.718292E-02
116 8.939678E-03 1.740836E-02
